date,open,high,low,close,volume
2025-01-01,198,201,197,200,900000
2025-01-02,199,202,198,201,910000
2025-01-03,200,203,199,202,920000
2025-01-04,201,204,200,203,930000
2025-01-05,202,205,201,204,940000
2025-01-06,203,206,202,205,950000
2025-01-07,204,207,203,206,960000
2025-01-08,205,208,204,207,970000
2025-01-09,206,209,205,208,980000
2025-01-10,207,210,206,209,990000
2025-01-11,206,209,205,208,960000
2025-01-12,205,209,204,207,950000
2025-01-13,206,210,205,208,970000
2025-01-14,207,210,206,209,980000
2025-01-15,206,209,205,208,960000
2025-01-16,205,209,204,207,950000
2025-01-17,206,210,205,208,970000
2025-01-18,207,210,206,209,980000
2025-01-19,206,209,205,208,960000
2025-01-20,205,209,204,207,950000
2025-01-21,206,210,205,208,970000
2025-01-22,207,210,206,209,980000
2025-01-23,206,209,205,208,960000
2025-01-24,205,209,204,207,950000
2025-01-25,206,210,205,208,970000
2025-01-26,207,210,206,209,980000
2025-01-27,206,209,205,208,960000
2025-01-28,205,209,204,207,950000
2025-01-29,206,210,205,208,970000
2025-01-30,207,210,206,209,980000
2025-01-31,206,209,205,208,960000
2025-02-01,205,209,204,207,950000
2025-02-02,206,210,205,208,970000
2025-02-03,207,210,206,209,980000
2025-02-04,208,211,207,210,990000
2025-02-05,212,216,211,215,1800000
2025-02-06,213,217,212,216,1700000
2025-02-07,211,214,210,212,1250000
2025-02-08,210,213,209,211,1180000
2025-02-09,209,212,208,210,1100000
2025-02-10,210,213,209,211,1120000
2025-02-11,211,214,210,212,1150000
2025-02-12,210,213,209,211,1160000
2025-02-13,211,214,210,212,1170000
2025-02-14,210,213,209,211,1180000
